model,roc_auc,avg_precision,best_threshold,best_profit,profit_at_t_0.2
HistGradientBoosting,0.8315849186044769,0.6958151651172826,0.19,63476.035,63150.340000000004
GradientBoosting,0.8165857005059879,0.6723559987454996,0.29,60052.0575,57434.5675
RandomForest,0.8173960219452748,0.6745333163379874,0.2,59628.10249999999,59628.10249999999
LogisticRegression,0.6592187602067839,0.42584470782286893,0.47500000000000003,27271.864999999998,11011.66
SVM,0.5311568664102181,0.32259067444726075,0.245,9666.1925,0.0
